SERVICE_ID,BLOCK_ID,PULLOUTTIME,PULLINTIME
2,101,12120,82920
2,102,13440,70980
2,103,13920,90840
2,104,21540,89040
2,105,22020,90660
2,106,22440,84480
2,107,24240,81240
2,301,13200,81720
2,302,15000,81960
2,303,21300,82620
2,304,21780,67680
2,305,23100,90960
2,351,58200,90960
2,501,14580,80220
2,502,19320,92040
2,901,13080,82380
2,902,13200,82680
2,903,14880,79980
2,904,15000,80640
2,905,21180,90480
2,906,21300,90780
2,907,22980,88980
2,908,23100,88680
2,909,23880,81780
2,1301,13680,68580
2,1302,14880,91680
2,1303,16080,88080
2,1304,17280,34980
2,1305,18480,89880
2,1306,24780,89940
2,1307,57180,80280
2,1501,12720,94320
2,1502,12420,94320
2,1503,13920,81120
2,1504,13620,81120
2,1505,15120,92520
2,1506,14820,92520
2,1601,12420,88980
2,1602,13620,80460
2,1603,14820,91980
2,1604,16020,81180
2,1605,24180,90060
2,1606,23220,90780
2,1701,13200,67560
2,1702,12300,35940
2,1703,14400,81360
2,1704,13500,81300
2,1705,15600,94500
2,1706,14700,70080
2,1707,23100,92700
2,1708,24000,93960
2,1709,57900,90900
2,1710,59400,92160
2,1801,12720,91800
2,1802,13920,89160
2,1803,15780,90000
2,1804,15120,90960
2,1805,16980,66960
2,1806,16320,83160
2,1807,17520,93960
2,1808,18720,81000
2,1809,25920,92760
2,2001,12360,90960
2,2002,15000,92700
2,2003,13560,81360
2,2004,16200,68820
2,2005,14760,90300
2,2006,17400,35700
2,2007,15960,33060
2,2008,17160,81300
2,2009,26100,87360
2,2010,26760,71700
2,2011,54120,92760
2,2012,58500,89160
2,2201,11700,94260
2,2202,11400,90660
2,2203,12900,84120
2,2204,12600,71340
2,2205,14100,92520
2,2206,13800,92460
2,2207,15300,94320
2,2208,23700,37680
2,2251,54900,81660
2,2301,13440,81060
2,2302,14700,87780
2,2303,14640,91380
2,2304,15900,92580
2,2305,15840,93180
2,2501,12300,93480
2,2502,14160,81360
2,2503,13500,83280
2,2504,15360,93360
2,2505,14700,91560
2,2701,13500,91680
2,2702,14100,81000
2,2703,14100,90720
2,3001,12540,90900
2,3002,13800,90420
2,3003,14940,80220
2,3801,12120,80640
2,3802,13320,56160
2,3803,13560,82560
2,3804,14520,90240
2,3805,14760,92160
2,3806,15720,92040
2,3807,25560,93060
2,5701,13020,68940
2,5702,14220,82560
2,5703,15240,90360
2,5704,15420,92160
2,5705,16620,91380
2,5706,17820,93180
2,5707,19020,71040
2,5708,22620,35040
2,5709,26220,93960
2,5710,57420,82980
2,10101,12360,36120
2,10102,13440,90600
2,10103,14160,91140
2,10104,15240,89340
2,10105,15960,36300
2,10106,23040,87540
2,10107,23160,92940
2,10108,54240,71220
2,10109,54360,70620
2,10110,56760,69120
2,10201,15060,34140
2,10202,16860,33720
2,10203,21660,66120
2,10204,22020,66540
2,10205,54060,90900
2,10206,54420,89100
2,10301,15900,33720
2,10302,17700,32700
2,10303,22140,66360
2,10304,23400,66060
2,10305,54540,86700
2,10306,53880,88500
2,10401,16560,90660
2,10402,17280,89880
2,10403,18360,34440
2,10404,19080,33720
2,10405,22560,91680
2,10406,23280,66120
2,10451,54960,92460
2,10452,55680,68160
2,10601,15120,91140
2,10602,15120,34440
2,10603,22020,66960
2,10604,21720,91200
2,10605,54120,67920
2,10801,13320,90120
2,10802,15120,34080
2,10803,15120,34140
2,10804,16920,90180
2,10805,22920,91980
2,10806,22920,91920
2,10851,55320,67740
2,10852,55320,67800
2,10901,14580,67080
2,10902,16380,34440
2,10903,18180,91140
2,10904,22080,67800
2,10905,25560,35520
2,10951,53160,90300
2,10952,55560,89340
2,11401,17280,89820
2,11402,17700,89760
2,11403,18480,33540
2,11404,19680,66060
2,11405,22080,33540
2,11406,23280,66060
2,11407,55680,91620
2,11408,55680,88020
2,12201,14100,90540
2,12202,20700,35340
2,12251,54900,69540
2,12801,12780,66480
2,12802,14580,33660
2,12803,16380,89820
2,12804,21720,65580
2,12805,23820,34800
2,12851,55920,90720
2,12852,56820,91740
2,14101,13680,34020
2,14102,13620,91380
2,14103,15480,33360
2,14104,15420,91620
2,14105,24480,89700
2,14106,54720,89580
2,14107,55680,65760
2,14501,13020,88680
2,14502,15120,68100
2,14503,16920,70260
2,14504,18720,69420
2,14505,22920,35220
2,14506,23280,35520
2,14507,54120,92280
2,14508,55680,90480
2,14509,59280,90300
2,14701,14820,93180
2,14702,15720,91380
2,14703,16620,87780
2,14704,17520,35460
2,14705,18420,66600
2,14706,23520,89580
2,14707,23820,33840
2,14708,54720,90420
2,14709,56220,66420
2,20001,16200,84300
2,20002,16500,83580
2,20003,18900,94440
2,20004,19200,81960
2,20005,17400,35460
2,20006,17100,35220
2,20051,54000,92400
2,20052,54300,91920
2,20201,13500,68520
2,20202,13800,68940
2,20203,15300,93780
2,20204,15600,74460
2,20301,16020,84540
2,20302,17820,39180
2,20351,51300,91380
2,20401,16020,86580
2,20402,15900,71520
2,20501,14400,69300
2,20502,22380,37320
2,20503,23400,91260
2,20504,53400,90900
2,20701,14880,35340
2,20702,17580,85620
2,20703,19320,89220
2,20704,22620,91320
2,20705,23880,33780
2,20706,55200,69600
2,20707,56880,66600
2,21201,16020,90720
2,21202,16320,37380
2,21251,50520,92580
2,21301,18060,91320
2,21302,16260,36180
2,21351,55500,66360
2,21401,13620,91260
2,21402,16020,70320
2,21403,16020,89820
2,21404,17820,34620
2,21451,55620,90120
2,21501,14400,33540
2,21502,16200,88440
2,21503,18000,66000
2,21504,57060,90180
2,21601,13140,89340
2,21602,17040,90960
2,21603,19080,33600
2,21604,22680,37140
2,21651,55080,69600
2,21652,58680,66120
2,21701,15300,90120
2,21702,24660,88320
2,21703,17100,33300
2,21751,55260,65700
2,21801,14820,91740
2,21802,15240,68340
2,21803,13020,92220
2,21804,16920,83040
2,21851,52920,92640
2,21901,15900,92220
2,21902,17700,35760
2,21951,54480,68400
2,22001,17040,35820
2,22002,18840,37620
2,22051,54840,69960
2,22101,13320,89880
2,22102,16920,90660
2,22103,14220,34140
2,22104,14700,34980
2,22151,54720,70080
2,22152,54300,69900
2,22301,15120,91680
2,22302,16920,32400
2,22351,52500,68220
2,22401,15300,67440
2,22402,12600,68580
2,22403,17160,81780
2,22404,19740,93180
2,22405,17100,34200
2,22451,53940,80340
2,22452,58500,91380
2,22601,20100,89700
2,22602,15120,34260
2,22651,53700,70860
2,22701,16080,81120
2,22702,17160,89520
2,22703,16920,67020
2,22704,15480,88560
2,22705,18780,70920
2,22706,26880,93120
2,22707,17280,33480
2,22751,59280,92160
2,22801,13320,93300
2,22802,22320,66420
2,22901,16080,80220
2,22902,16980,65760
2,22903,17280,89220
2,22904,19080,70800
2,22905,16380,92220
2,22906,18780,37260
2,22951,53880,88620
2,22952,59580,92820
2,23001,15480,91080
2,23002,16860,91380
2,23003,17040,64620
2,23004,18660,67680
2,23005,22020,85860
2,23006,16320,32160
2,23007,16980,35340
2,23008,21720,30180
2,23051,50820,90660
2,23052,54000,62820
2,23053,54180,81060
2,23101,16140,68160
2,23102,24840,62760
2,23103,16980,33900
2,23104,17940,30360
2,23151,52140,89520
2,23152,57180,90780
2,23201,15660,68700
2,23202,18600,73440
2,23203,18060,92040
2,23204,22200,92040
2,23205,16800,36420
2,23251,56100,89640
2,23301,13500,35100
2,23302,14460,67620
2,23303,16260,83700
2,23304,18060,76500
2,23305,21660,91800
2,23306,56400,90900
2,23401,15720,48360
2,23402,17520,46680
2,23403,19320,53160
2,23404,17220,39360
2,23421,43320,71760
2,23422,44220,55560
2,23423,49020,75960
2,23451,51720,85560
2,23452,55320,90720
2,23471,71520,91320
2,23501,16080,54180
2,23502,15720,34380
2,23503,25080,37380
2,23521,35280,66840
2,23551,52080,81660
2,23552,57480,91260
2,23601,16320,52080
2,23602,17880,47280
2,23603,32880,54480
2,23604,16080,36540
2,23605,16560,40080
2,23607,18120,34920
2,23621,37680,69120
2,23622,44880,75120
2,23651,49680,85020
2,23652,52080,82020
2,23653,55680,92220
2,23671,72480,91560
2,23701,14040,88680
2,23702,18060,92640
2,23703,19860,86280
2,23704,23340,81480
2,23705,15360,37140
2,23751,53040,69540
2,23801,13800,94200
2,23802,17100,37380
2,23803,16260,72960
2,23804,17400,91560
2,23805,15300,71640
2,23806,15600,35700
2,23851,53400,91800
2,23852,54900,89400
2,23901,15180,91380
2,23902,16080,87780
2,23903,16980,70260
2,23904,17880,77940
2,23905,25080,89940
2,23906,18360,30840
2,23907,18780,35880
2,23951,50940,91680
2,23952,53940,63180
2,23953,54720,65100
2,24101,14820,34440
2,24102,16440,35700
2,24103,16620,46620
2,24104,18240,53820
2,24105,18420,46380
2,24106,23640,37740
2,24107,23820,39180
2,24121,35640,68280
2,24122,35820,68580
2,24123,43020,73800
2,24124,45240,81000
2,24151,52440,89400
2,24152,56220,82920
2,24153,57840,88920
2,24171,72840,92520
2,24201,17820,92220
2,24202,19620,81840
2,24301,15900,35520
2,24302,19200,91740
2,24303,53280,80160
2,24401,15600,91740
2,24402,17400,82140
2,24501,16020,91260
2,24502,17820,68760
2,24503,15900,92040
2,24504,17700,34920
2,24505,19620,36660
2,24551,53820,70800
2,24552,54600,82440
2,24701,12420,69120
2,24702,13260,82680
2,24703,14820,34620
2,24704,18900,82080
2,24705,21420,92220
2,24706,53820,91020
2,24901,15000,74640
2,24902,22500,87540
2,24903,17700,36660
2,24951,54900,90840
2,25001,13800,67620
2,25002,13500,67380
2,25003,15600,34800
2,25004,15300,92340
2,25005,24600,92160
2,25051,55200,82740
2,25052,54900,82560
2,25101,16020,75180
