stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
12901,12901,FOREST @ SHEPHERD - E - NS,FOREST @ SHEPHERD -Eastbound -Near Side (before the intersection),32.909084,-96.750428,,,1
12908,12908,WALNUT HILL @ RAMBLER - W - MB,WALNUT HILL @ RAMBLER -Westbound -Mid Block (not near the intersection),32.883429,-96.760942,,,1
12909,12909,WALNUT HILL @ GREENVILLE - E - MB,WALNUT HILL @ GREENVILLE -Eastbound -Mid Block (not near the intersection),32.883151,-96.760168,,,0
12916,12916,MATILDA @ PENROSE - S - NS,MATILDA @ PENROSE -Southbound -Near Side (before the intersection),32.832439,-96.767991,,,0
12917,12917,MATILDA @ MCCOMMAS - S - NS,MATILDA @ MCCOMMAS -Southbound -Near Side (before the intersection),32.830131,-96.767975,,,0
12918,12918,MATILDA @ MONTICELLO - S - NS,MATILDA @ MONTICELLO -Southbound -Near Side (before the intersection),32.827129,-96.767991,,,0
12919,12919,MATILDA @ VANDERBILT - S - NS,MATILDA @ VANDERBILT -Southbound -Near Side (before the intersection),32.825092,-96.767998,,,0
12920,12920,MATILDA @ VICKERY - S - NS,MATILDA @ VICKERY -Southbound -Near Side (before the intersection),32.823062,-96.767998,,,0
12921,12921,MATILDA @ VELASCO - S - NS,MATILDA @ VELASCO -Southbound -Near Side (before the intersection),32.821076,-96.768052,,,0
12922,12922,MATILDA @ GOLIAD - S - NS,MATILDA @ GOLIAD -Southbound -Near Side (before the intersection),32.818781,-96.768052,,,0
12923,12923,MATILDA @ RICHMOND - S - NS,MATILDA @ RICHMOND -Southbound -Near Side (before the intersection),32.81628,-96.768063,,,1
12924,12924,MATILDA @ ORAM - S - NS,MATILDA @ ORAM -Southbound -Near Side (before the intersection),32.813968,-96.768085,,,0
12925,12925,MATILDA @ LEWIS - S - NS,MATILDA @ LEWIS -Southbound -Near Side (before the intersection),32.812256,-96.7686,,,0
